H,L,nu,dp,u_b,structured,hmax,order,condense,constitutive,threads,solver,it_max,tol_min,damp_fix,damp_newton,linesearch,inverse,model,tau_y,kappa,law,Velocity,Stress,Strain rate,Pressure,converged?,it
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1.0,G1,0.0505825955848343,9.49379170046203e-05,0.0851577765544992,2.800834280287403e-05,True,3
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.1,G1,0.0042750128317292,0.00128093019335,0.0198083589053222,0.0003404432253764,True,5
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.01,G1,0.0003832093647284,0.0078555668231841,0.0034890189485222,0.002578711235047,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.001,G1,8.391262946557185e-05,0.0222512726693899,0.0020186280171928,0.0096054106144846,True,7
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.0001,G1,7.219952670450994e-05,0.03001539305571,0.0020167739002784,0.0144419595190187,True,8
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-05,G1,7.184656310123547e-05,0.0314754481269064,0.0020169114853773,0.0154053846363959,True,9
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-06,G1,7.182707982479623e-05,0.03168228108463,0.0020168901144812,0.0155423260393434,True,9
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1.0,G1,0.0505825178844678,2.0547318984054108e-05,0.0851795823498645,6.0123730852159925e-06,True,3
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.1,G1,0.0042736392936606,0.0003066991769806,0.0198447452639495,8.799238427819288e-05,True,5
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.01,G1,0.0003741304000784,0.0020551536966733,0.0032290315351825,0.0006605833891154,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.001,G1,4.553518891306085e-05,0.0077298439128493,0.0008737978375099,0.0033805998048481,True,8
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.0001,G1,2.5616221577915216e-05,0.0130851689396847,0.0008021724721836,0.0066915949024483,True,10
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-05,G1,2.511659689983415e-05,0.0161460642521236,0.0008025637890175,0.0087342529797523,True,10
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-06,G1,2.510997796130245e-05,0.0173146626123654,0.0008026976386029,0.0094241914114743,True,12
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.1,G1,0.0042735895735959,7.214810978365022e-05,0.0198294813279986,2.067780237096568e-05,True,5
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.01,G1,0.0003736103891938,0.0004461816709613,0.0031766618232204,0.0001282895628875,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.001,G1,3.741905759337696e-05,0.0020978828190706,0.0004800850003409,0.0008661853893181,True,8
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.0001,G1,8.296545953479816e-06,0.0043182853366542,0.0002814551737665,0.0020025654823612,True,11
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-05,G1,7.000842541086424e-06,0.0066731013089052,0.0002794053932288,0.0034990635246361,True,12
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-06,G1,6.971605881148097e-06,0.0077608429196737,0.0002795271344161,0.0041451989555533,True,13
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1.0,G1,0.0505825377607331,1.2951214269968997e-06,0.0851717344297108,3.808474410628407e-07,True,3
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.1,G1,0.0042735843488436,1.934714885653548e-05,0.0198289485408177,5.738172551926068e-06,True,5
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.01,G1,0.0003735812466742,0.0001148419168075,0.0031741408917773,3.3613549429636185e-05,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.001,G1,3.665851131369704e-05,0.0005542491412801,0.0004225210089287,0.0001990494352721,True,8
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.0001,G1,4.428905249576747e-06,0.0018476643866282,0.0001157768004332,0.0008841001481687,True,11
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-05,G1,2.290864605772177e-06,0.0040672571807839,0.000109558275234,0.0020836785510117,True,13
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1.0,G1,0.0505825377643245,3.121918683694464e-07,0.085171982901236,9.025623589431774e-08,True,3
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.1,G1,0.0042735840607274,4.640475616851106e-06,0.0198294420265274,1.3469051891338258e-06,True,5
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.01,G1,0.0003735799037932,2.642433240659514e-05,0.0031748447488202,7.662581037374045e-06,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.001,G1,3.6607676269240826e-05,0.0001137725181196,0.000417510379753,3.535401110729943e-05,True,8
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,50,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.0001,G1,3.724933871245619e-06,0.0004530096411243,6.173682105222769e-05,0.0002010238185695,True,10
