H,L,nu,dp,u_b,structured,hmax,order,condense,constitutive,threads,solver,it_max,tol_min,damp_fix,damp_newton,linesearch,inverse,model,r,Velocity,Stress,Strain rate,Pressure,converged?,it
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,16,newton,30,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.4,0.0001060670924824,0.007749371710322,0.0019324767122283,0.0026380642766484,True,7
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,16,newton,30,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.4,1.1617694850027757e-05,0.0028163393862761,0.0004342449601483,0.0010926489924544,True,7
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,16,newton,30,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.4,1.3809011628242e-06,0.000971698501463,0.0001042483075168,0.0004007060226337,True,8
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,16,newton,30,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.4,1.6974464001508625e-07,0.0003604216095584,2.580327261334808e-05,0.0001423018142483,True,8
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,16,newton,30,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.4,2.0675627865978867e-08,0.0001250531183575,6.333819676028418e-06,5.125623631274977e-05,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,16,newton,30,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.4,2.554229184180434e-09,4.340451891634236e-05,1.5636518931588642e-06,1.7956367946691147e-05,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,fixpoint,100,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.2,0.0016958694260216,0.0214398818897073,0.0336952034757627,0.0092746074921074,True,91
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,fixpoint,100,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.2,0.000196057432076,0.0073699943733962,0.0077449313233023,0.0033438620924831,True,91
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,fixpoint,100,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.2,2.3271955432255e-05,0.0024833769086115,0.0018384832306305,0.0011644988957198,True,91
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,fixpoint,100,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.2,2.816527386024948e-06,0.0009010958569139,0.0004449311338336,0.0003827389025947,True,91
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,fixpoint,100,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.2,3.4747396192456346e-07,0.0002749580655868,0.0001103172063709,0.0001166300949814,True,93
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,fixpoint,100,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.2,4.539796307970923e-08,0.0005597418511254,2.7315827790566537e-05,0.0001171802042898,True,93
