H,L,nu,dp,u_b,structured,hmax,order,condense,constitutive,threads,solver,it_max,tol_min,damp_fix,damp_newton,linesearch,inverse,model,tau_y,kappa,law,Velocity,Stress,Strain rate,Pressure,converged?,it
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1.0,G1,0.050581063794097,8.122452711216267e-05,0.0851271629245022,2.400815231486053e-05,True,26
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,0.1,G1,0.0042549664576809,0.0013624335715666,0.0196358729583472,0.0003781475467148,True,26
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,0.01,G1,0.0003611710802496,0.0099821867113528,0.0042242113483582,0.0044710952332597,True,27
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,0.001,G1,0.0001102327287578,0.0247713502876843,0.0035327151096055,0.0143308929519206,True,28
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,0.0001,G1,0.0001039654506453,0.0297335539112493,0.0035280730869978,0.0179785232665706,True,28
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-05,G1,0.0001040235111632,0.0307748033151574,0.0035278884574032,0.0187641146837777,True,30
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-06,G1,0.0001040431311636,0.0308987389132172,0.0035278796256449,0.0188566725442844,True,31
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-07,G1,0.0001040452500955,0.0309113555935085,0.0035278788848859,0.0188655138569754,True,33
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-08,G1,0.0001040454627563,0.030913604951468,0.0035278788124027,0.0188613434695611,True,34
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1.0,G1,0.0505821828411697,1.779629315678142e-05,0.085172596420748,5.21068890119705e-06,True,26
