H,L,nu,dp,u_b,structured,hmax,order,condense,constitutive,threads,solver,it_max,tol_min,damp_fix,damp_newton,linesearch,inverse,model,tau_y,kappa,law,Velocity,Stress,Strain rate,Pressure,converged?,it
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1.0,G1,0.0505829811790361,0.0005042833540097,0.0851699865144466,0.0007857788156621,True,3
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.1,G1,0.0042786592219516,0.0071383583707114,0.0200751644258937,0.010224422298124,True,5
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.01,G1,0.0004207394396591,0.0360502307021099,0.0060351108029299,0.0442903828844129,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.001,G1,0.0002013183343635,0.0658679836082217,0.0057120988307034,0.0770870525535041,True,7
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.0001,G1,0.0001985895907033,0.0747575069848841,0.0057969269467919,0.0868303615519956,True,9
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-05,G1,0.0001986035595918,0.0761203334880994,0.0058057811425919,0.0882038098838441,True,10
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-06,G1,0.0001986150005124,0.0763463634677605,0.0058068526123866,0.0884205814868359,True,12
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-07,G1,0.0001986170520216,0.0763806519610987,0.0058070109505323,0.0884370919425227,True,13
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-08,G1,0.0001986172854115,0.0763745357388447,0.0058070285239392,0.0882919754847093,True,15
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1.0,G1,0.0505825562246434,0.0001252767357771,0.0851739589472858,0.0002036882653347,True,3
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.1,G1,0.0042737996141507,0.0018998899449019,0.0198523887593671,0.0029296325405371,True,5
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.01,G1,0.0003727203752147,0.0125323719065786,0.003621307018536,0.0167523162129179,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.001,G1,6.000477341910315e-05,0.0335264958645478,0.0021563109723183,0.0412574277564435,True,7
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.0001,G1,4.637930221287197e-05,0.0467935011215716,0.0021687475522907,0.056653852750893,True,9
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-05,G1,4.573877791948809e-05,0.0534082095513624,0.0021776538596595,0.0639449739804027,True,10
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-06,G1,4.572934991654882e-05,0.0561122283733103,0.002178971522315,0.0665384293461351,True,12
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-07,G1,4.573337260708697e-05,0.0566332917892039,0.0021791079118101,0.0666763255281577,True,13
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-08,G1,4.57339114884166e-05,0.056713642541181,0.0021791215730337,0.0642430388874954,True,14
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1.0,G1,0.0505825400844019,3.1180090118357414e-05,0.0851722889757732,5.115307025853039e-05,True,3
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.1,G1,0.0042735954690447,0.0005037074934352,0.0198314514641584,0.0008064493105927,True,5
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.01,G1,0.0003735002888664,0.0039248004893917,0.0032294250224088,0.0055076874623766,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.001,G1,4.022491544077015e-05,0.0159338541475399,0.0009135626383663,0.0198791586364731,True,8
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.0001,G1,1.5383242217408204e-05,0.0281495777188329,0.0008405609829332,0.0346833179902643,True,8
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-05,G1,1.4024015847023665e-05,0.0366447905860232,0.0008445622486487,0.0450746317758147,True,10
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-06,G1,1.3930332016234008e-05,0.0421533514695646,0.0008454042791657,0.051684944032492,True,12
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-07,G1,1.3921542417586486e-05,0.0452043824517445,0.0008454397029019,0.0549261134822792,True,13
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-08,G1,1.3920703803333672e-05,0.0464221120019711,0.0008454336350319,0.0543505763326157,True,14
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1.0,G1,0.0505825378951355,7.674947808964065e-06,0.0851717882947151,1.278919735436667e-05,True,4
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.1,G1,0.0042735846976986,0.0001269873204655,0.0198291447768283,0.0002092505286076,True,5
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.01,G1,0.0003735708138777,0.0010720815618035,0.0031791193156283,0.0015726453808846,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.001,G1,3.679135169776296e-05,0.0062031112738764,0.0005182954468645,0.0077760788480844,True,8
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.0001,G1,6.019817733378588e-06,0.0147215932347669,0.0003333470689262,0.0178532611159135,True,9
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-05,G1,3.973275630972564e-06,0.0218379300507919,0.0003313651826918,0.0266791043061305,True,9
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-06,G1,3.829382463689579e-06,0.0275893027593465,0.0003315849087621,0.0338314767770666,True,10
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-07,G1,3.817134724387931e-06,0.0321911020534388,0.0003316021395776,0.0393097021032908,True,11
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-08,G1,3.816088609606626e-06,0.0355601626385557,0.0003316033203353,0.0422490364488581,True,13
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1.0,G1,0.05058253777105,1.9585175898346927e-06,0.0851719932600222,3.2576102847633715e-06,True,4
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.1,G1,0.0042735840802559,3.265795768482067e-05,0.0198294685262505,5.3560034870639046e-05,True,5
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.01,G1,0.00037357909307,0.0002887767457658,0.0031752718418523,0.0004231478383918,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.001,G1,3.661160704291284e-05,0.0021363625624084,0.0004336236378482,0.00269004701884,True,8
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.0001,G1,3.976752416011533e-06,0.0073348790452378,0.0001458143065787,0.0086552196192124,True,9
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-05,G1,1.2503859835953966e-06,0.0125120416472101,0.0001371960115998,0.0149270067350189,True,9
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-06,G1,1.0651955462810889e-06,0.0168785805945991,0.0001370808741305,0.0204581715171904,True,10
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-07,G1,1.0499351176182084e-06,0.0206369480543329,0.0001370804219531,0.0252063516676543,True,11
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-08,G1,1.04857001831657e-06,0.0237086789498061,0.0001370804540736,0.0285798554231945,True,11
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1.0,G1,0.0505825377738746,4.886064300978148e-07,0.0851719518490269,8.092328666934311e-07,True,4
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.1,G1,0.004273584053992,8.152491044672239e-06,0.0198293805235021,1.3309289239819117e-05,True,5
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.01,G1,0.0003735797827531,7.311955647759252e-05,0.0031747640880811,0.0001069181871879,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.001,G1,3.660593076557632e-05,0.000624007153503,0.0004188522913697,0.0007954580554021,True,8
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.0001,G1,3.678655375150273e-06,0.0030992522282753,7.633854796160601e-05,0.0036509592111151,True,9
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-05,G1,5.256788684120425e-07,0.0065943040884397,5.791591944571787e-05,0.0076520287930311,True,10
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-06,G1,2.849795221854335e-07,0.0095951651299369,5.750237329838032e-05,0.0113012587909151,True,10
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-07,G1,2.6748225621077175e-07,0.012189989270473,5.748601152166607e-05,0.0145499329137334,True,11
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-08,G1,2.659350279456232e-07,0.014377174861938,5.748478370695109e-05,0.0171004596324673,True,11
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,250,1e-08,1.0,1.0,none,pardiso,Bingham,1.0,1e-08,G1,0.0006243814156914,0.483952015849391,0.0074968616157692,0.5380776468499696,True,16
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,250,1e-08,1.0,1.0,none,pardiso,Bingham,1.0,1e-07,G1,0.0006244933196697,0.4618511898499906,0.0074967902377177,0.5416234241243734,True,15
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,250,1e-08,1.0,1.0,none,pardiso,Bingham,1.0,1e-06,G1,0.0006256060240098,0.4291721075791297,0.0074961372089334,0.5113423629949045,True,16
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,250,1e-08,1.0,1.0,none,pardiso,Bingham,1.0,1e-05,G1,0.0006359662154402,0.3760707535850941,0.0074928701864936,0.4478323449279333,True,17
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,250,1e-08,1.0,1.0,none,pardiso,Bingham,1.0,0.0001,G1,0.0007504791332564,0.303404172633373,0.007479307891627,0.3619252531260525,True,16
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,250,1e-08,1.0,1.0,none,pardiso,Bingham,1.0,0.001,G1,0.0023342209648773,0.2082603717307427,0.0077248255949782,0.248825629342915,True,16
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,250,1e-08,1.0,1.0,none,pardiso,Bingham,1.0,0.01,G1,0.0194404961639396,0.0995335560568751,0.0225790300846362,0.1210479981405507,True,15
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,250,1e-08,1.0,1.0,none,pardiso,Bingham,1.0,0.1,G1,0.1840026210413795,0.0247392510045039,0.2048604061238667,0.0314807850290037,True,13
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,250,1e-08,1.0,1.0,none,pardiso,Bingham,1.0,1.0,G1,1.761864532471826,3.0153159413192328e-15,1.957891638974292,1.1303113539943807e-08,True,7
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,True,24,newton,250,1e-08,1.0,1.0,none,pardiso,Bingham,1.0,1e-08,G1,0.0001453031875276,0.3616948024414513,0.0027774719671264,0.4208417742009481,True,14
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,True,24,newton,250,1e-08,1.0,1.0,none,pardiso,Bingham,1.0,1e-07,G1,0.0001453926400976,0.3348932029629349,0.0027774656787849,0.4042925467007116,True,14
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,True,24,newton,250,1e-08,1.0,1.0,none,pardiso,Bingham,1.0,1e-06,G1,0.0001462981788102,0.2964356751740497,0.002777397672568,0.3607501240531531,True,15
