H,L,nu,dp,u_b,structured,hmax,order,condense,constitutive,threads,solver,it_max,tol_min,damp_fix,damp_newton,linesearch,inverse,model,r,Velocity,Stress,Strain rate,Pressure,converged?,it
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,16,newton,30,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.4,0.00026424700109,0.0365984984465738,0.0101083947402764,0.0487222296129829,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,16,newton,30,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.4,2.843690412257395e-05,0.0127299612266584,0.0024737176815164,0.0170931218851831,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,16,newton,30,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.4,3.319597545545125e-06,0.0045977166797753,0.0006095429538079,0.0062469597005044,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,16,newton,30,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.4,3.942800901370426e-07,0.0016191112790395,0.0001480502453591,0.0022365042147235,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,16,newton,30,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.4,4.8943807239545423e-08,0.0005869710557453,3.736914206038378e-05,0.0008047988453009,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,16,newton,30,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.4,6.091396600851202e-09,0.0002072955782704,9.307560422080364e-06,0.0002831106889012,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,fixpoint,100,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.2,0.0043243414141925,0.1214046378019849,0.1372367589664525,0.1567322342161234,True,87
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,fixpoint,100,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.2,0.0004495382697037,0.0449339723857953,0.0338075746265787,0.0590567850073048,True,87
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,fixpoint,100,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.2,4.966665007836282e-05,0.0165640861121799,0.0083262331380433,0.0219770300170966,True,87
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,fixpoint,100,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.2,5.7759594252890855e-06,0.0057715577160254,0.0020282998165994,0.0077536027104588,True,87
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,fixpoint,100,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.2,7.099078250766157e-07,0.0019861444129341,0.0005063344101992,0.0025139681664232,True,87
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,fixpoint,100,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.2,9.87077457892708e-08,0.000569377279718,0.0001257826810079,0.0006666186292825,True,88
