H,L,nu,dp,u_b,structured,hmax,order,condense,constitutive,threads,solver,it_max,tol_min,damp_fix,damp_newton,linesearch,inverse,model,tau_y,kappa,law,Velocity,Stress,Strain rate,Pressure,converged?,it
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1.0,G1,0.0505827684976879,0.0002596764961659,0.0851588763227685,6.743343143933212e-06,True,3
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.1,G1,0.0042770719047917,0.0040360259011934,0.0199419647335368,6.377302305332763e-05,True,5
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.01,G1,0.0004151648669658,0.0220606327218725,0.0052075326832494,0.0011217341449894,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.001,G1,0.0001773679274164,0.0372337237136979,0.0044673583446607,0.0034038747926385,True,7
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.0001,G1,0.0001694243137494,0.0439251723351908,0.0044694537000628,0.0045832738543952,True,8
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-05,G1,0.0001693337353298,0.0467849682276076,0.0044744546737012,0.0048948519107116,True,10
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-06,G1,0.000169265450424,0.0550864485924648,0.004475193111815,0.004918094888793,True,11
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-07,G1,0.0001692671787517,0.0562958262690817,0.00447525833917,0.0049122876940854,True,13
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-08,G1,0.0001692674774501,0.0564582331371139,0.0044752636495534,0.0049116233806203,True,15
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1.0,G1,0.0505825272884958,6.011558487955226e-05,0.0851796475179661,6.893896995775789e-07,True,3
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.1,G1,0.0042737541299775,0.0010081896459293,0.0198534640133458,2.208208991007082e-05,True,5
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.01,G1,0.000374744829634,0.0076377692310326,0.0034754968184557,0.0002408673401195,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.001,G1,6.27529122632018e-05,0.019743320229788,0.0017428375955956,0.0022372264823229,True,7
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.0001,G1,4.708730481869186e-05,0.0289980065200151,0.001712814661993,0.0049873581799986,True,9
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-05,G1,4.644994432740886e-05,0.0342870047669782,0.0017170881933765,0.0060600068942632,True,10
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-06,G1,4.641635914797855e-05,0.037489254216114,0.0017178707115812,0.0070753835139768,True,11
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-07,G1,4.641501374783172e-05,0.0385330083867348,0.0017179771150422,0.00745406876116,True,12
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-08,G1,4.641496238051273e-05,0.0386841772857769,0.0017179890524527,0.0074032183321809,True,13
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1.0,G1,0.050582538939427,1.4711318364848172e-05,0.0851719902165563,8.98495442021987e-08,True,3
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.1,G1,0.0042735954773864,0.0002545726845853,0.0198300216311666,3.3659985848400415e-07,True,5
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.01,G1,0.0003737002623186,0.002334423182073,0.003202928399262,2.3256252986381016e-05,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.001,G1,4.127976285713159e-05,0.0095432164522213,0.0007667142724556,0.0003247922996252,True,8
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.0001,G1,1.728867416050584e-05,0.0161828126216807,0.0006592202108897,0.001074453323465,True,9
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-05,G1,1.5969133239809057e-05,0.021095397390106,0.000659317131207,0.0020774102289971,True,10
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-06,G1,1.5852071858036502e-05,0.0241572612840425,0.0006593114822693,0.0038993037339909,True,11
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-07,G1,1.583841638001412e-05,0.0258274044276671,0.0006592637536668,0.0055119149233674,True,13
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-08,G1,1.5837146291249674e-05,0.0268549218533916,0.0006592565773132,0.0062485443716163,True,15
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1.0,G1,0.0505825377955202,3.646003265223191e-06,0.0851717346776062,1.730790504354801e-08,True,3
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.1,G1,0.0042735847284226,6.366959100175692e-05,0.0198289834255284,8.61348650690874e-08,True,5
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.01,G1,0.0003735869565009,0.0006135942012784,0.0031761807332775,4.080021549531708e-06,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.001,G1,3.696131687459682e-05,0.00382025400158,0.0004805696476308,9.203933991541388e-05,True,8
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.0001,G1,6.922079281188739e-06,0.008440586470834,0.0002659687278837,0.0005635511824635,True,9
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-05,G1,4.976802985152878e-06,0.0121168966839678,0.0002616448404443,0.0014443320193827,True,9
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-06,G1,4.833671287438368e-06,0.0153744335042823,0.0002614760291627,0.0032617044018692,True,10
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-07,G1,4.822043174303108e-06,0.0181113139030892,0.000261453612865,0.0051061303660205,True,11
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-08,G1,4.8211663409471454e-06,0.0201189123104662,0.0002614540487624,0.0062885975484101,True,12
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1.0,G1,0.0505825377665029,9.209557919897668e-07,0.0851719829165946,4.158846374730081e-09,True,3
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.1,G1,0.0042735840838905,1.6295665657839026e-05,0.0198294442088631,1.9743900735143557e-08,True,5
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.01,G1,0.0003735802301189,0.0001625580640499,0.003174987814126,2.9931953300318644e-07,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.001,G1,3.662441433033647e-05,0.0013172527544881,0.0004261510878616,9.961299958009323e-06,True,8
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.0001,G1,4.206726684089216e-06,0.0043834618064296,0.0001197125948013,0.0001099331998671,True,9
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-05,G1,1.6429533271795904e-06,0.0069167509626614,0.0001089477252089,0.000271558264742,True,9
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-06,G1,1.4604595207968523e-06,0.0090188267440825,0.0001087091926484,0.0005696483371109,True,10
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-07,G1,1.4457849609995858e-06,0.0108965395374127,0.0001086995732972,0.0010205193653097,True,10
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-08,G1,1.4445264765318395e-06,0.0125254261566039,0.0001086993973112,0.0014131811245647,True,11
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1.0,G1,0.0505825377754437,2.2906114551210118e-07,0.0851719441366241,1.5873215161704578e-09,True,3
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.1,G1,0.0042735840562637,4.067304541685073e-06,0.0198293649490504,1.70235029913472e-08,True,5
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.01,G1,0.000373579856135,4.091010525235275e-05,0.0031747215036134,1.5228689156108658e-07,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.001,G1,3.660683592097177e-05,0.0003740299739232,0.0004177428315324,1.8144317243111296e-06,True,8
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,0.0001,G1,3.705303953096871e-06,0.0019366965043233,6.71324987165415e-05,2.5396985779564557e-05,True,10
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-05,G1,6.625386674779915e-07,0.0037873120176769,4.5671760478199e-05,0.0001030775187315,True,11
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-06,G1,4.300628984072507e-07,0.0051929736299217,4.521257437244674e-05,0.0001792031812808,True,11
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-07,G1,4.113152617872888e-07,0.0064091260095277,4.52001769958004e-05,0.0002629691198601,True,10
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,30,1e-08,1.0,1.0,none,pardiso,Bingham,0.2,1e-08,G1,4.0967458140717883e-07,0.0075129753609498,4.519966006812181e-05,0.0003448662654991,True,10
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,250,1e-08,1.0,1.0,none,pardiso,Bingham,1.0,1e-08,G1,0.0007595297852217,0.3144753972884977,0.0061414329032255,0.13198337014544,True,19
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,250,1e-08,1.0,1.0,none,pardiso,Bingham,1.0,1e-07,G1,0.0007596647978658,0.3070967912700016,0.006141460297513,0.1331253390545638,True,18
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,250,1e-08,1.0,1.0,none,pardiso,Bingham,1.0,1e-06,G1,0.0007610239335436,0.2795339471233812,0.0061416511348091,0.1066439169892944,True,15
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,250,1e-08,1.0,1.0,none,pardiso,Bingham,1.0,1e-05,G1,0.0007747883007276,0.2406593737107609,0.0061428771894116,0.0664396931293805,True,19
