H,L,nu,dp,u_b,structured,hmax,order,condense,constitutive,threads,solver,it_max,tol_min,damp_fix,damp_newton,linesearch,inverse,model,r,Velocity,Stress,Strain rate,Pressure,converged?,it
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,16,newton,30,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.4,0.0001898335094478,0.0212690602670434,0.0076858193635113,0.0006566560572742,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,16,newton,30,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.4,2.034685354378364e-05,0.0073326332382631,0.0018109655185559,0.0003227599282224,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,16,newton,30,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.4,2.386379268746479e-06,0.002602701988509,0.0004414524738662,4.048349457041141e-05,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,16,newton,30,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.4,2.910594229077945e-07,0.0009091926604818,0.0001082248208014,2.0402470147723323e-05,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,16,newton,30,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.4,3.5403982905527916e-08,0.0003317903240713,2.692154038741842e-05,5.5004867131563865e-06,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,16,newton,30,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.4,4.374345005942211e-09,0.0001174072330083,6.697107294765502e-06,1.7274346857135148e-06,True,6
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,False,24,fixpoint,100,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.2,0.0031988460716846,0.0652286369728497,0.1192098609726781,0.0077254691611603,True,87
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,False,24,fixpoint,100,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.2,0.0003541469159106,0.0235633161543577,0.0287678228528875,0.0013191197300087,True,87
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,fixpoint,100,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.2,4.100499398050471e-05,0.0085967886929042,0.0069937006917924,0.0002245804725674,True,87
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,fixpoint,100,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.2,4.901067727256782e-06,0.0030128617535484,0.0017092931785182,0.0001283449672015,True,87
2.0,1.0,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,fixpoint,100,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.2,6.041367823406691e-07,0.0011079509880342,0.0004243678490657,2.719166664101977e-05,True,87
2.0,1.0,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,fixpoint,100,1e-08,1.0,1.0,none,pardiso,Powerlaw,1.2,9.265309741825176e-08,0.0003924428662447,0.0001055875404202,3.0783034751150887e-06,True,87
